date,open,high,low,close,volume,market cap,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-12-30,246.4580017224499,246.49723847063197,243.1274681255817,245.7792225950524,342300808.67,39316042283.7,-0.0859172077922077,0.4115417568542568,0.9932,0.073,0.773,0.155,0.022,0.063,0.915,0.04,0.021,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-29,244.171412957117,246.6009929337353,243.57990987727823,246.4797245843991,345312527.63,39428145950.14,-0.0859172077922077,0.4115417568542568,0.9932,0.073,0.773,0.155,0.022,0.063,0.915,0.04,0.021,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-28,246.6071144315682,246.840040912381,242.10927558324852,244.14192646193996,414698978.2,39054223213.78,-0.0859172077922077,0.4115417568542568,0.9932,0.073,0.773,0.155,0.022,0.063,0.915,0.04,0.021,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-27,244.20265836956705,247.67968578972688,242.56218041746325,246.59668623198544,391342277.11,39446947208.02,-0.0859172077922077,0.4115417568542568,0.9932,0.073,0.773,0.155,0.022,0.063,0.915,0.04,0.021,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-26,243.14793351267352,244.59595126497103,242.224423839434,244.19828796776483,276115280.04,39063326954.92,-0.0859172077922077,0.4115417568542568,0.9932,0.073,0.773,0.155,0.022,0.063,0.915,0.04,0.021,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-25,244.63639982268347,245.73098760467408,241.70050181580453,243.14149976841773,298063868.05,38894316962.86,-0.044460678210678166,0.40122625060125056,0.9923666666666666,0.07466666666666666,0.7623333333333333,0.16366666666666665,0.02,0.3506666666666667,0.6293333333333334,0.03333333333333333,0.268,0.6986666666666667,1.0,neutral,neutral,negative,positive,positive
2022-12-24,246.15164612464196,246.18171541882305,243.95304342701297,244.6355292789253,280627376.19,39133349163.76,-0.003004148629148634,0.39091074434824435,0.9915333333333334,0.07633333333333334,0.7516666666666667,0.17233333333333334,0.018,0.6383333333333334,0.3436666666666667,0.02666666666666667,0.515,0.45833333333333337,1.0,negative,negative,negative,positive,positive
2022-12-23,245.89413462359664,248.27472475365468,244.452948409607,246.14817280717315,388929772.33,39375368363.2,0.0384523809523809,0.3805952380952381,0.9907,0.078,0.741,0.181,0.016,0.926,0.058,0.02,0.762,0.218,1.0,negative,negative,positive,positive,positive
2022-12-22,246.06832288994008,248.03202940208269,240.4832031335462,245.8906251753378,543367184.12,39334222657.0,0.2356481481481481,0.6666666666666666,0.9826,0.019,0.816,0.166,0.215,0.3,0.484,0.107,0.012,0.881,1.0,neutral,neutral,positive,positive,positive
2022-12-21,251.6943193106249,251.6943193106249,245.757241617707,246.04697850262983,479296549.19,39359267890.3,-0.25,0.75,-0.8834,0.194,0.767,0.039,0.039,0.452,0.508,0.016,0.69,0.293,1.0,neutral,negative,negative,negative,negative
2022-12-20,240.6682244775756,252.62866021748303,239.8014326535082,251.74453496785472,667866376.86,40270721918.09,0.0750909090909091,0.3798181818181818,-0.6486,0.12,0.751,0.128,0.038,0.104,0.858,0.022,0.877,0.101,1.0,neutral,negative,positive,negative,negative
2022-12-19,251.2426745665341,252.93302087294853,238.65078797941112,240.65781158114527,751196285.35,38497257993.91,0.0189393939393939,0.4272727272727272,0.9413,0.045,0.846,0.109,0.019,0.811,0.17,0.201,0.038,0.761,1.0,negative,neutral,positive,positive,positive
2022-12-18,242.5169094018028,253.33968729461327,240.03653132301943,251.15638901758487,925487109.62,40176732867.76,0.0053884340297383985,0.44676352029612887,0.9681,0.069,0.7745,0.157,0.019,0.4305,0.5505,0.1215,0.028999999999999998,0.85,1.0,neutral,neutral,positive,positive,positive
2022-12-17,231.22075239407465,243.58195841182297,221.00319531785436,242.52928164110872,1196953525.57,38796722023.24,-0.0081625258799171,0.4662543133195306,0.9949,0.093,0.703,0.205,0.019,0.05,0.931,0.042,0.02,0.939,1.0,neutral,neutral,negative,positive,positive
2022-12-16,258.2687714344568,264.2475848455886,227.3452367539611,231.23243558637364,1264053277.27,36989640967.8,0.0444444444444444,0.42833333333333334,0.19649999999999998,0.085,0.8115,0.1035,0.1285,0.5700000000000001,0.30150000000000005,0.0225,0.182,0.7965,2.0,negative,neutral,positive,neutral,positive
2022-12-15,268.1503576069435,268.1503576069435,257.0811992241466,258.2737251465183,709349173.61,41315420629.36,0.0547619047619047,0.4448214285714286,0.4658,0.0675,0.81375,0.11925,0.10625000000000001,0.6930000000000001,0.20075000000000004,0.02275,0.44499999999999995,0.5327500000000001,1.5,negative,neutral,positive,neutral,positive
2022-12-14,271.9580669837635,277.85709596581984,266.14624648908443,268.23154105270106,1026628081.49,42908400754.64,0.065079365079365,0.4613095238095238,0.7351,0.05,0.816,0.135,0.084,0.816,0.1,0.023,0.708,0.269,1.0,negative,negative,positive,positive,positive
2022-12-13,276.2844848597875,280.68733969101123,257.4403792338464,271.95169430143096,1925504272.94,43503575941.02,0.05479076479076472,0.4263203463203463,0.7771,0.049800000000000004,0.8091999999999999,0.1418,0.07220000000000001,0.7136,0.2142,0.024399999999999998,0.5718,0.404,1.0,negative,negative,positive,positive,positive
2022-12-12,284.43437417749504,285.5374513044813,273.53084164549193,276.2781887786067,974762446.71,44195717778.35,0.044502164502164446,0.3913311688311688,0.8190999999999999,0.049600000000000005,0.8024,0.1486,0.06040000000000001,0.6112,0.3284,0.0258,0.4356,0.5389999999999999,1.0,negative,neutral,positive,positive,positive
2022-12-11,288.144251628886,290.93642377441967,284.1882853003937,284.39041158845663,496833486.44,45493467668.66,0.03421356421356416,0.35634199134199135,0.8611,0.0494,0.7956,0.1554,0.048600000000000004,0.5088,0.4426,0.0272,0.2994,0.6739999999999999,1.0,negative,neutral,positive,positive,positive
2022-12-10,286.1065065638112,289.4926014290272,286.1065065638112,288.1252168498289,439735199.89,46090966906.46,0.02392496392496388,0.32135281385281383,0.9031,0.0492,0.7888000000000001,0.1622,0.0368,0.4064,0.5568000000000001,0.0286,0.16319999999999998,0.8089999999999999,1.0,neutral,neutral,positive,positive,positive
2022-12-09,290.5220073320243,291.57059900212,285.5756264422289,286.09042069286164,644239750.36,45765515255.46,0.0136363636363636,0.2863636363636364,0.9451,0.049,0.782,0.169,0.025,0.304,0.671,0.03,0.027,0.944,1.0,neutral,neutral,positive,positive,positive
2022-12-08,284.2951610557029,291.51171472152083,282.8092006002663,290.53718014235704,646645161.65,46476916921.1,0.020542478354978314,0.2982819264069264,0.8853285714285715,0.06414285714285714,0.7665714285714286,0.16914285714285715,0.02485714285714286,0.36,0.615,0.04028571428571428,0.11628571428571433,0.8442857142857142,1.0,neutral,neutral,positive,positive,positive
